event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,street_closure_type,community_board,police_precinct,event_street_side,event_date
368882,Lawn Closure due to COnstruction,2017-11-12 00:00:00,2017-11-12 23:00:00,Parks Department,Construction,Manhattan,Inwood Hill Park: Behind Nature Center Lawn ,N/A,"12, ","34, ",,2017-11-12
309946,Julio Morales Fall Stickball Classic,2017-11-12 10:00:00,2017-11-12 16:00:00,Street Activity Permit Office,Stickball,Manhattan, EAST  109 STREET between SECOND AVENUE and THIRD AVENUE,Full Street Closure ,"11, ","23, ",Full,2017-11-12
320105,St. Anthony Flea Market,2017-11-11 09:00:00,2017-11-11 18:00:00,Street Activity Permit Office,Sidewalk Sale,Manhattan, WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET,Sidewalk and Curb Lane Closure ,"2, ","1, 6, ",South,2017-11-11
374547,PE classes,2017-11-29 11:00:00,2017-11-29 13:00:00,Parks Department,Special Event,Bronx,Crotona Park: Crotona Park ,N/A,"3, ","42, ",,2017-11-29
381181,"Dairy Lawn Winter Closure until April 7, 2018",2017-12-02 00:00:00,2017-12-02 23:59:00,Parks Department,Special Event,Manhattan,Central Park: Dairy Lawn ,N/A,"64, ","22, ",,2017-12-02
328422,Junior Volunteer Corps,2017-11-19 12:00:00,2017-11-19 16:00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Children's Corner ,N/A,"55, ","78, ",,2017-11-19
330659,West Dalehead Arch Landscape Restoration,2017-11-18 00:00:00,2017-11-18 23:59:00,Parks Department,Construction,Manhattan,Central Park: West Dalehead Arch ,N/A,"64, ","22, ",,2017-11-18
374769,Miscellaneous,2017-12-06 07:00:00,2017-12-06 23:59:00,Parks Department,Construction,Manhattan,"East River Park: Soccer-01 ,East River Park: Track-01 ",N/A,"03, ","9, ",,2017-12-06
375624,The American Art Fair at Bohemian Hall: 321 E. 73rd St.,2017-11-08 08:00:00,2017-11-08 22:00:00,Street Activity Permit Office,Production Event,Manhattan, EAST   73 STREET between 1 AVENUE and 2 AVENUE,Curb Lane Only,"8, ","19, ",North,2017-11-08
317955,57 Street Greenmarket Wednesday  Saturday,2017-11-15 08:00:00,2017-11-15 18:00:00,Street Activity Permit Office,Farmers Market,Manhattan, 10 AVENUE between WEST   57 STREET and WEST   58 STREET,Sidewalk and Curb Lane Closure ,"4, ","18, ",East,2017-11-15
314100,92 Street Greenmarket Sunday,2017-11-19 08:00:00,2017-11-19 17:00:00,Street Activity Permit Office,Farmers Market,Manhattan, 1 AVENUE between EAST   92 STREET and EAST   93 STREET,Sidewalk and Curb Lane Closure ,"8, ","19, ",East,2017-11-19
378212,One of a Kind Madison Avenue,2017-10-21 10:00:00,2017-11-15 19:00:00,Street Activity Permit Office,Street Event,Manhattan,"837 MADISON AVENUE between EAST   69 STREET and EAST   70 STREET, 965 MADISON AVENUE between EAST   75 STREET and EAST   76 STREET, 939 MADISON AVENUE between EAST   75 STREET and EAST   74 STREET, 853 MADISON AVENUE between EAST   70 STREET and EAST   71 STREET, 688 MADISON AVENUE between EAST   61 STREET and EAST   62 STREET, 683 MADISON AVENUE between EAST   61 STREET and EAST   62 STREET, 709 MADISON AVENUE between EAST   62 STREET and EAST   63 STREET, 825 MADISON AVENUE between EAST   68 S",Partial Sidewalk Closure ,"8, ","19, ",East,2017-10-21
381796,Religious Procession,2017-11-26 15:00:00,2017-11-26 16:30:00,Police Department,Parade,Bronx,"141 MARCY PLACE between GRAND CONCOURSE and WALTON AVENUE,  WALTON AVENUE between MARCY PLACE and EAST CLARKE PLACE,  EAST CLARKE PLACE between WALTON AVENUE and GRAND CONCOURSE,  GRAND CONCOURSE between EAST CLARKE PLACE and MARCY PLACE,  MARCY PLACE between GRAND CONCOURSE and WALTON AVENUE",Full Street Closure ,"4, ","44, ",West,2017-11-26
369846,Lawn Maintenance,2017-12-07 00:00:00,2017-12-07 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Farragut Lawn ,N/A,"5, ","13, ",,2017-12-07
324814,Model Helicopter Flying,2017-11-11 08:00:00,2017-11-11 19:00:00,Parks Department,Special Event,Brooklyn,Calvert Vaux Park: Hobby Field ,N/A,"13, ","60, ",,2017-11-11
324814,Model Helicopter Flying,2017-12-06 08:00:00,2017-12-06 19:00:00,Parks Department,Special Event,Brooklyn,Calvert Vaux Park: Hobby Field ,N/A,"13, ","60, ",,2017-12-06
368882,Lawn Closure due to COnstruction,2017-12-04 00:00:00,2017-12-04 23:00:00,Parks Department,Construction,Manhattan,Inwood Hill Park: Behind Nature Center Lawn ,N/A,"12, ","34, ",,2017-12-04
376877,PE Classes,2017-11-16 08:00:00,2017-11-16 15:00:00,Parks Department,Special Event,Bronx,Crotona Park: Crotona Park ,N/A,"3, ","42, ",,2017-11-16
375525,East Meadow Winter CLosure,2017-11-23 00:00:00,2017-11-23 23:59:00,Parks Department,Construction,Manhattan,Central Park: East Meadow ,N/A,"64, ","22, ",,2017-11-23
379046,Union Square Holiday market,2017-11-13 00:00:00,2017-11-13 23:59:00,Parks Department,Special Event,Manhattan,Union Square Park: South Plaza ,N/A,"5, ","13, ",,2017-11-13
363387,Crab Apple Grove LAWN CLOSURE,2017-11-15 00:00:00,2017-11-15 23:59:00,Parks Department,Construction,Manhattan,Riverside Park: Crab Apple Grove-RSP ,N/A,"7, ","24, ",,2017-11-15
375840,Winter Village at Bryant Park,2017-12-02 00:00:00,2017-12-02 23:59:00,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,N/A,"5, ","14, ",,2017-12-02
377420,Korean War Photo Display - Thanks Run Forever,2017-11-11 09:00:00,2017-11-11 17:00:00,Street Activity Permit Office,Plaza Event,Manhattan,34/35 Broadway Pedestrian Plaza (Herald Square): 34/35 Broadway Pedestrian Plaza (Herald Square) BROADWAY between W 34TH STREET and W. 35TH STREET,Pedestrian Plaza ,"5, ","14, ",,2017-11-11
369858,Lawn Maintenance,2017-11-10 00:00:00,2017-11-10 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Dogwood / 25th St Lawn North ,N/A,"5, ","13, ",,2017-11-10
364146,Miscellaneous,2017-11-11 08:00:00,2017-11-11 18:00:00,Parks Department,Construction,Manhattan,"Central Park: North Meadow-Soccer-01 ,Central Park: North Meadow-Soccer-02 ,Central Park: North Meadow-Soccer-03 ,Central Park: North Meadow-Soccer-04 ,Central Park: North Meadow-Soccer-05 ,Central Park: North Meadow-Soccer-06 ,Morningside Park: Softball-01 ,Morningside Park: Softball-02 ",N/A,"09, 64, ","22, 26, ",,2017-11-11
328765,flea market,2017-11-26 08:00:00,2017-11-26 19:00:00,Street Activity Permit Office,Sidewalk Sale,Manhattan, BLEECKER STREET between CARMINE STREET and LEROY STREET,Partial Sidewalk Closure ,"2, ","6, ",South,2017-11-26
324814,Model Helicopter Flying,2017-12-02 08:00:00,2017-12-02 19:00:00,Parks Department,Special Event,Brooklyn,Calvert Vaux Park: Hobby Field ,N/A,"13, ","60, ",,2017-12-02
374769,Miscellaneous,2017-12-05 07:00:00,2017-12-05 23:59:00,Parks Department,Construction,Manhattan,"East River Park: Soccer-01 ,East River Park: Track-01 ",N/A,"03, ","9, ",,2017-12-05
365144,Flying Radio Controled Model Planes at field,2017-11-22 08:00:00,2017-11-22 19:00:00,Parks Department,Special Event,Brooklyn,Marine Park: Hobby Field ,N/A,"18, ","63, ",,2017-11-22
347757,restoration project,2017-11-08 00:00:00,2017-11-08 23:30:00,Parks Department,Special Event,Manhattan,Morningside Park: West 114th St Picnic Area ,N/A,"9, ","26, ",,2017-11-08
369861,Lawn Maintenance,2017-11-15 00:00:00,2017-11-15 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Sol Lewitt / 25th St Lawn South ,N/A,"5, ","13, ",,2017-11-15
369850,Lawn Maintenance,2017-11-19 00:00:00,2017-11-19 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Center Lawn ,N/A,"5, ","13, ",,2017-11-19
340727,East New York Farms Farmers Market,2017-11-18 07:30:00,2017-11-18 18:00:00,Street Activity Permit Office,Farmers Market,Brooklyn, SCHENCK AVENUE between NEW LOTS AVENUE and LIVONIA AVENUE,Full Sidewalk Closure ,"5, ","75, ",Both,2017-11-18
378737,Cristo del Consuelo,2017-11-11 18:00:00,2017-11-11 19:00:00,Police Department,Parade,Brooklyn," SUYDAM STREET between CENTRAL AVENUE and WILSON AVENUE,  SUYDAM STREET between CENTRAL AVENUE and WILSON AVENUE,  SUYDAM STREET between KNICKERBOCKER AVENUE and IRVING AVENUE,  IRVING AVENUE between SUYDAM STREET and HART STREET,  IRVING AVENUE between BLEECKER STREET and MENAHAN STREET,  MENAHAN STREET between IRVING AVENUE and WYCKOFF AVENUE,  WYCKOFF AVENUE between MENAHAN STREET and GROVE STREET,  WYCKOFF AVENUE between GROVE STREET and LINDEN STREET,  LINDEN STREET between WYCKOFF AVENUE a",Full Street Closure ,"4, 5, ","104, 83, ",Full,2017-11-11
337339,The South Bronx Farmers Market,2017-11-18 09:00:00,2017-11-18 16:00:00,Street Activity Permit Office,Farmers Market,Bronx, EAST  138 STREET between ALEXANDER AVENUE and WILLIS AVENUE,Partial Sidewalk Closure ,"1, ","40, ",South,2017-11-18
376143,Walker Park Afterschool,2017-11-08 11:00:00,2017-11-08 19:00:00,Parks Department,Special Event,Staten Island,Walker Park: Walker Park - Whole Park ,N/A,"1, ","120, ",,2017-11-08
377725,Office Renovation,2017-12-02 12:30:00,2017-12-02 23:00:00,Street Activity Permit Office,Street Event,Manhattan, READE STREET between ELK STREET and CENTRE STREET,Curb Lane Only,"1, ","5, ",Both,2017-12-02
317952,Coenties Slip Greenmarket Thursday,2017-11-09 08:00:00,2017-11-09 18:00:00,Street Activity Permit Office,Farmers Market,Manhattan, COENTIES SLIP between WATER STREET and PEARL STREET,Sidewalk and Curb Lane Closure ,"1, ","1, ",Both,2017-11-09
381184,"E 72nd  Plygrnd Lawn Winter Closure until April 7, 2018",2017-11-24 00:00:00,2017-11-24 23:59:00,Parks Department,Construction,Manhattan,Central Park: East 72nd Street Playground Lawns ,N/A,"8, ","19, ",,2017-11-24
324814,Model Helicopter Flying,2017-11-19 08:00:00,2017-11-19 19:00:00,Parks Department,Special Event,Brooklyn,Calvert Vaux Park: Hobby Field ,N/A,"13, ","60, ",,2017-11-19
368421,Big Apple Circus,2017-11-25 19:00:00,2017-11-25 20:00:00,Parks Department,Special Event,Manhattan,"Damrosch Park: Damrosch Park ,Damrosch Park: Tent Area ,Damrosch Park: Tent Area ,Damrosch Park: Bandshell ",N/A,"7, ","20, ",,2017-11-25
318745,Dana Center Holiday Lighting,2017-11-30 17:30:00,2017-11-30 18:30:00,Parks Department,Special Event,Manhattan,Central Park: Dana Discovery Center Plaza ,N/A,"64, ","22, ",,2017-11-30
334661,GallopNYC Therapeutic Horsemanship at Bowling Green,2017-11-18 09:00:00,2017-11-18 16:00:00,Parks Department,Special Event,Brooklyn,Parade Ground: Bowling Green Lawn ,N/A,"14, ","70, ",,2017-11-18
374181,NYRR Open Run - Cunningham Park,2017-11-12 08:00:00,2017-11-12 09:00:00,Parks Department,Special Event,Queens,Cunningham Park: Cunningham Park ,N/A,"11, ","107, ",,2017-11-12
376877,PE Classes,2017-11-08 08:00:00,2017-11-08 15:00:00,Parks Department,Special Event,Bronx,Crotona Park: Crotona Park ,N/A,"3, ","42, ",,2017-11-08
320105,St. Anthony Flea Market,2017-12-08 09:00:00,2017-12-08 18:00:00,Street Activity Permit Office,Sidewalk Sale,Manhattan, WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET,Sidewalk and Curb Lane Closure ,"2, ","1, 6, ",South,2017-12-08
379178,Weekend Adv. - Historic NY: Native Americans,2017-11-18 13:00:00,2017-11-18 14:30:00,Parks Department,Special Event,Staten Island,Conference House Park: Conference House Park ,N/A,"3, ","123, ",,2017-11-18
381182,"DIana Ross Plygrnd Lawn Winter Closure until April 7, 2018",2017-12-05 00:00:00,2017-12-05 23:59:00,Parks Department,Construction,Manhattan,Central Park: Diana Ross Playground Lawn ,N/A,"64, ","22, ",,2017-12-05
334317,Bushwick Farmers Market,2017-11-12 10:00:00,2017-11-12 16:00:00,Street Activity Permit Office,Farmers Market,Brooklyn,553 BUSHWICK AVENUE between NOLL STREET and ARION PLACE,Partial Sidewalk Closure ,"4, ","83, ",East,2017-11-12
366760,Field Reconstruction,2017-12-02 06:00:00,2017-12-02 23:00:00,Parks Department,Construction,Manhattan,"Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ",N/A,"11, ","25, ",,2017-12-02
335783,"October, November December model aircraft flying",2017-11-23 09:00:00,2017-11-23 20:00:00,Parks Department,Special Event,Staten Island,LaTourette Park & Golf Course: Model Airplane Field ,N/A,"2, ","122, ",,2017-11-23
379257,Permitted Film Event,2017-10-23 00:01:00,2017-11-18 23:59:00,"Mayor's Office of Film, Theatre & Broadcasting",Shooting Permit,Manhattan,"63-109 AMSTERDAM AVENUE, AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET, 63-109 AMSTERDAM AVENUE, AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET, 63-109 AMSTERDAM AVENUE, AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET, 63-109 AMSTERDAM AVENUE, AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET, 63-109 AMSTERDAM AVENUE, AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET",N/A,"7, ","20, ",,2017-10-23
